match_id,home_team,away_team,team_id,team_name,team_is_home,score,outcome,player_name,rank,pagerank,pagerank_pct,betweenness,minutes_played
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Lucas Ariel Ocampos,9,0.05018283396860571,5.02,0.0,71
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Rafael Mir Vicente,10,0.046528262776782105,4.65,0.0,23
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Manuel Bueno Sebastián,11,0.04332100729941798,4.33,0.0027,23
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Youssef En-Nesyri,12,0.035932696814242854,3.59,0.0,80
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Marko Dmitrović,13,0.03256651399481053,3.26,0.0,94
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Adnan Januzaj,14,0.031761664286539926,3.18,0.0,14
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Marcos do Nascimento Teixeira,15,0.02199187030440176,2.2,0.0,8
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Gerard Gumbau Garriga,1,0.15825623440906916,15.83,0.4368,94
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Ricard Sánchez Sendra,2,0.10959252072360595,10.96,0.283,94
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Ignasi Miquel i Pons,3,0.10767415399133684,10.77,0.0769,94
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Raúl Torrente Navarro,4,0.10626288250422072,10.63,0.2198,94
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Bryan Zaragoza Martínez,5,0.08014547929589011,8.01,0.0852,94
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Carlos Neva Tey,6,0.06473145854774974,6.47,0.0,63
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Gonzalo Villar del Fraile,7,0.061321220529729,6.13,0.0,45
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Sergio Ruiz Alonso,8,0.059844841614359164,5.98,0.0,63
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,José Antonio Rodríguez Díaz,9,0.05824484847476941,5.82,0.0,77
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Álvaro Fernández,10,0.051120579805999135,5.11,0.0165,31
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Lucas Ariel Boyé,11,0.04168310997220117,4.17,0.0,94
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Njegoš Petrović,12,0.03532603304037369,3.53,0.0,31
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,Myrto Uzuni,13,0.029722524642811162,2.97,0.0,49
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,José María Callejón Bueno,14,0.019978571386472115,2.0,0.0,17
3894706,Granada,Sevilla,1049,Granada,True,0-3,loss,André Filipe Magalhães Ribeiro Ferreira,15,0.016095541061412758,1.61,0.0,94
