team,team_id,match_id,outcome,won,N,S,N_eff,N_eff_frac,team_sf
Villarreal,222,3894880,win,1,16,0.9570306647176838,13.1599949974316,0.822499687339475,0.16909975669099755
Villarreal,222,3894607,draw,0,15,0.9459776757622903,11.299469320916323,0.7532979547277548,0.2840909090909091
Villarreal,222,3894540,win,1,16,0.9593780060586112,13.053422200772989,0.8158388875483118,0.11702127659574468
Villarreal,222,3894890,draw,0,16,0.9812077767182471,14.433519889775496,0.9020949931109685,0.13
Villarreal,222,3894760,draw,0,15,0.9491222282036543,12.035070019329133,0.8023380012886089,0.19002695417789758
Villarreal,222,3894577,win,1,16,0.9612478001544629,13.175557008489543,0.8234723130305964,0.14074074074074075
Villarreal,222,3894722,lost,0,16,0.9690886388171983,13.502990320692499,0.8439368950432812,0.1631130063965885
Villarreal,222,3894781,win,1,16,0.9533870250267226,12.636274964606702,0.7897671852879189,0.2313167259786477
Villarreal,222,3894535,lost,0,15,0.9564429119175943,12.27331884790328,0.8182212565268853,0.13480392156862744
Villarreal,222,3894639,lost,0,16,0.9671823641053016,13.60930983808814,0.8505818648805088,0.1513840830449827
Villarreal,222,3894730,draw,0,14,0.9474339420465763,11.215709896612507,0.8011221354723219,0.1963519313304721
Villarreal,222,3894851,win,1,16,0.9544801677591944,12.878752511573484,0.8049220319733428,0.15582959641255606
Villarreal,222,3894688,lost,0,15,0.9388520159161546,11.500590130517091,0.7667060087011394,0.1882716049382716
Villarreal,222,3894694,lost,0,16,0.9406404108497837,12.01812155949884,0.7511325974686776,0.14888888888888888
Villarreal,222,3894632,win,1,16,0.9578163321380843,13.03100200796159,0.8144376254975993,0.14722222222222223
Villarreal,222,3894848,win,1,16,0.9762098865748358,14.097092536122542,0.8810682835076589,0.1717948717948718
Villarreal,222,3894609,lost,0,16,0.967283551845075,13.371615756523635,0.8357259847827272,0.17207792207792208
Villarreal,222,3894904,draw,0,15,0.9556265152883915,12.35897414702245,0.8239316098014966,0.13289962825278812
Villarreal,222,3894707,win,1,16,0.9521088613052071,12.876581049551865,0.8047863155969915,0.16216216216216217
