n_nodes,n_edges,density,efficiency,clustering,avg_path_length,reciprocity,team,team_id,match_id,sf,ec,result,points
16,124,0.5166666666666667,0.8152777777777779,0.15093867979157222,1.525,0.7741935483870968,Villarreal,222,3894812,0.17519685039370078,0.21844539484927133,win,3
16,137,0.5708333333333333,0.8416666666666667,0.07908177369327343,1.4333333333333333,0.8029197080291971,Villarreal,222,3894862,0.13518518518518519,0.2143095177456401,lost,0
16,110,0.4583333333333333,0.8083333333333333,0.21239257909007536,1.5708333333333333,0.6545454545454545,Villarreal,222,3894741,0.275,0.20789896063121083,win,3
14,104,0.5714285714285714,0.8351648351648352,0.11561203177426134,1.445054945054945,0.8269230769230769,Villarreal,222,3894586,0.147117296222664,0.22510799387078076,draw,1
16,120,0.5,0.7972222222222223,0.14999249267166964,1.5791666666666666,0.8,Villarreal,222,3894770,0.20799180327868852,0.2141817831702837,draw,1
16,105,0.4375,0.7611111111111114,0.10923472886468007,1.5166666666666666,0.7619047619047619,Villarreal,222,3894880,0.16909975669099755,0.2116602490482885,win,3
15,92,0.4380952380952381,0.8,0.14299637378190827,1.6047619047619048,0.6304347826086957,Villarreal,222,3894607,0.2840909090909091,0.22634147702356547,draw,1
16,123,0.5125,0.8083333333333333,0.11172750584993617,1.4875,0.7967479674796748,Villarreal,222,3894540,0.11702127659574468,0.211387502218016,win,3
16,152,0.6333333333333333,0.8583333333333333,0.16781528941389776,1.3666666666666667,0.868421052631579,Villarreal,222,3894890,0.13,0.2349356415666003,draw,1
15,100,0.47619047619047616,0.8,0.14600142269021052,1.5809523809523809,0.74,Villarreal,222,3894760,0.19002695417789758,0.21749123841968998,draw,1
16,132,0.55,0.85,0.12010059932332671,1.4583333333333333,0.7272727272727273,Villarreal,222,3894577,0.14074074074074075,0.21702398584914503,win,3
16,125,0.5208333333333334,0.8083333333333333,0.1554880044623045,1.4916666666666667,0.816,Villarreal,222,3894722,0.1631130063965885,0.22031227065335354,lost,0
16,102,0.425,0.7777777777777779,0.17740888531760443,1.675,0.6862745098039216,Villarreal,222,3894781,0.2313167259786477,0.21384687224604498,win,3
15,134,0.638095238095238,0.8714285714285714,0.13924512474327774,1.3666666666666667,0.835820895522388,Villarreal,222,3894535,0.13480392156862744,0.22986366589478877,lost,0
16,128,0.5333333333333333,0.8208333333333333,0.14657584467503004,1.4875,0.796875,Villarreal,222,3894639,0.1513840830449827,0.2267145156587095,lost,0
14,109,0.5989010989010989,0.8571428571428571,0.18914094072383894,1.4230769230769231,0.8073394495412844,Villarreal,222,3894730,0.1963519313304721,0.2348902733811867,draw,1
16,105,0.4375,0.7680555555555556,0.08042029967776959,1.6541666666666666,0.7619047619047619,Villarreal,222,3894851,0.15582959641255606,0.2040854360623982,win,3
15,102,0.4857142857142857,0.8095238095238095,0.16241925677300392,1.5714285714285714,0.7254901960784313,Villarreal,222,3894688,0.1882716049382716,0.21704092378703468,lost,0
16,122,0.5083333333333333,0.8166666666666667,0.16802039497056245,1.5208333333333333,0.7540983606557377,Villarreal,222,3894694,0.14888888888888888,0.20923515039229645,lost,0
16,127,0.5291666666666667,0.8125,0.12590788664194666,1.5,0.8188976377952756,Villarreal,222,3894632,0.14722222222222223,0.21173318271634178,win,3
16,115,0.4791666666666667,0.8027777777777778,0.18049838620096526,1.4,0.7304347826086957,Villarreal,222,3894848,0.1717948717948718,0.22455983742338892,win,3
16,132,0.55,0.8583333333333333,0.14632862898603863,1.4708333333333334,0.696969696969697,Villarreal,222,3894609,0.17207792207792208,0.2145134349351004,lost,0
15,123,0.5857142857142857,0.861904761904762,0.11581929903541215,1.438095238095238,0.7642276422764228,Villarreal,222,3894904,0.13289962825278812,0.22697112268839686,draw,1
16,130,0.5416666666666666,0.8333333333333334,0.10190909076105978,1.4666666666666666,0.7692307692307693,Villarreal,222,3894707,0.16216216216216217,0.2106621878521023,win,3
16,119,0.49583333333333335,0.8083333333333333,0.16208599390350986,1.5333333333333334,0.7563025210084033,Villarreal,222,3894563,0.16666666666666666,0.20741768259764298,lost,0
16,120,0.5,0.7930555555555561,0.13002562956857977,1.475,0.7666666666666667,Villarreal,222,3894666,0.13762376237623763,0.21273516265566988,win,3
16,129,0.5375,0.815277777777778,0.16356100600098433,1.3916666666666666,0.8062015503875969,Villarreal,222,3894558,0.14199029126213591,0.2225205015651211,lost,0
16,146,0.6083333333333333,0.85,0.19155771879449168,1.3916666666666666,0.8493150684931506,Villarreal,222,3894628,0.1310452418096724,0.22317511225858658,draw,1
16,124,0.5166666666666667,0.8208333333333333,0.17732091744597026,1.5,0.7580645161290323,Villarreal,222,3894714,0.13992537313432835,0.20607599996206302,lost,0
15,93,0.44285714285714284,0.7682539682539689,0.14279298222330963,1.7619047619047619,0.7096774193548387,Celta Vigo,209,3894580,0.2305194805194805,0.20506686103343127,lost,0
15,128,0.6095238095238096,0.861904761904762,0.14947765793408951,1.4333333333333333,0.8125,Celta Vigo,209,3894678,0.16040688575899845,0.22673002052153932,draw,1
